,arg_names,arg_text,arg_types,args_string,args_vals,class_name,link,module,section_name
10,"['store_precision', 'assume_centered', 'support_fraction', 'contamination']","['store_precision : bool', 'assume_centered : Boolean', 'support_fraction : float, 0 < support_fraction < 1', 'contamination : float, 0. < contamination < 0.5']","[""<type 'bool'>"", ""<type 'bool'>"", ""<type 'float'>"", ""<type 'float'>""]","store_precision=True, assume_centered=False, support_fraction=None, contamination=0.1, random_state=None","[('store_precision', 'True'), ('assume_centered', 'False'), ('support_fraction', 'None'), ('contamination', '0.1'), ('random_state', 'None')]",EllipticEnvelope,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.EllipticEnvelope.html#sklearn.covariance.EllipticEnvelope,sklearn.covariance,Covariance Estimators
11,"['alpha', 'mode', 'tol', 'enet_tol', 'max_iter', 'verbose', 'assume_centered']","['alpha : positive float, default 0.01', ""mode : {'cd', 'lars'}, default 'cd'"", 'tol : positive float, default 1e-4', 'enet_tol : positive float, optional', 'max_iter : integer, default 100', 'verbose : boolean, default False', 'assume_centered : boolean, default False']","[""<type 'float'>"", None, ""<type 'float'>"", ""<type 'float'>"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'bool'>""]","alpha=0.01, mode='cd', tol=0.0001, enet_tol=0.0001, max_iter=100, verbose=False, assume_centered=False","[('alpha', '0.01'), ('mode', ""'cd'""), ('tol', '0.0001'), ('enet_tol', '0.0001'), ('max_iter', '100'), ('verbose', 'False'), ('assume_centered', 'False')]",GraphLasso,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphLasso.html#sklearn.covariance.GraphLasso,sklearn.covariance,Covariance Estimators
12,"['alphas', 'n_refinements: strictly positive integer', 'cv', 'tol: positive float, optional', 'enet_tol', 'max_iter: integer, optional', ""mode: {'cd', 'lars'}"", 'n_jobs: int, optional', 'verbose: boolean, optional', 'assume_centered']","['alphas : integer, or list positive float, optional', 'n_refinements: strictly positive integer :', 'cv : int, cross-validation generator or an iterable, optional', 'tol: positive float, optional :', 'enet_tol : positive float, optional', 'max_iter: integer, optional :', ""mode: {'cd', 'lars'} :"", 'n_jobs: int, optional :', 'verbose: boolean, optional :', 'assume_centered : Boolean']","[""<type 'float'>"", ""<type 'int'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'int'>"", None, ""<type 'int'>"", ""<type 'bool'>"", ""<type 'bool'>""]","alphas=4, n_refinements=4, cv=None, tol=0.0001, enet_tol=0.0001, max_iter=100, mode='cd', n_jobs=1, verbose=False, assume_centered=False","[('alphas', '4'), ('n_refinements', '4'), ('cv', 'None'), ('tol', '0.0001'), ('enet_tol', '0.0001'), ('max_iter', '100'), ('mode', ""'cd'""), ('n_jobs', '1'), ('verbose', 'False'), ('assume_centered', 'False')]",GraphLassoCV,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphLassoCV.html#sklearn.covariance.GraphLassoCV,sklearn.covariance,Covariance Estimators
13,"['store_precision', 'assume_centered', 'block_size']","['store_precision : bool, default=True', 'assume_centered : bool, default=False', 'block_size : int, default=1000']","[""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>""]","store_precision=True, assume_centered=False, block_size=1000","[('store_precision', 'True'), ('assume_centered', 'False'), ('block_size', '1000')]",LedoitWolf,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.LedoitWolf.html#sklearn.covariance.LedoitWolf,sklearn.covariance,Covariance Estimators
14,"['store_precision', 'assume_centered', 'support_fraction', 'random_state']","['store_precision : bool', 'assume_centered : Boolean', 'support_fraction : float, 0 < support_fraction < 1', 'random_state : integer or numpy.RandomState, optional']","[""<type 'bool'>"", ""<type 'bool'>"", ""<type 'float'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","store_precision=True, assume_centered=False, support_fraction=None, random_state=None","[('store_precision', 'True'), ('assume_centered', 'False'), ('support_fraction', 'None'), ('random_state', 'None')]",MinCovDet,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.MinCovDet.html#sklearn.covariance.MinCovDet,sklearn.covariance,Covariance Estimators
15,"['store_precision', 'assume_centered: bool, default=False']","['store_precision : bool, default=True', 'assume_centered: bool, default=False :']","[""<type 'bool'>"", ""<type 'bool'>""]","store_precision=True, assume_centered=False","[('store_precision', 'True'), ('assume_centered', 'False')]",OAS,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.OAS.html#sklearn.covariance.OAS,sklearn.covariance,Covariance Estimators
16,"['store_precision', 'shrinkage', 'assume_centered']","['store_precision : boolean, default True', 'shrinkage : float, 0 <= shrinkage <= 1, default 0.1', 'assume_centered : boolean, default False']","[""<type 'bool'>"", ""<type 'float'>"", ""<type 'bool'>""]","store_precision=True, assume_centered=False, shrinkage=0.1","[('store_precision', 'True'), ('assume_centered', 'False'), ('shrinkage', '0.1')]",ShrunkCovariance,http://scikit-learn.org/stable/modules/generated/sklearn.covariance.ShrunkCovariance.html#sklearn.covariance.ShrunkCovariance,sklearn.covariance,Covariance Estimators
17,"['n', 'n_folds', 'shuffle', 'random_state']","['n : int', 'n_folds : int, default=3', 'shuffle : boolean, optional', 'random_state : None, int or RandomState']","[""<type 'int'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","n=None, n_folds=3, shuffle=False, random_state=None","[('n', None), ('n_folds', '3'), ('shuffle', 'False'), ('random_state', 'None')]",KFold,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.KFold.html#sklearn.cross_validation.KFold,sklearn.cross_validation,Cross Validation
18,"['labels', 'n_folds']","['labels : array-like with shape (n_samples, )', 'n_folds : int, default=3']","[""<type 'numpy.ndarray'>"", ""<type 'int'>""]","labels=None, n_folds=3","[('labels', None), ('n_folds', '3')]",LabelKFold,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.LabelKFold.html#sklearn.cross_validation.LabelKFold,sklearn.cross_validation,Cross Validation
19,"['labels', 'n_iter', 'test_size', 'train_size', 'random_state']","['labels :  array, [n_samples]', 'n_iter : int (default 5)', 'test_size : float (default 0.2), int, or None', 'train_size : float, int, or None (default is None)', 'random_state : int or RandomState']","[""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'float'>, <type 'int'>, None)"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","labels=None, n_iter=5, test_size=0.2, train_size=None, random_state=None","[('labels', None), ('n_iter', '5'), ('test_size', '0.2'), ('train_size', 'None'), ('random_state', 'None')]",LabelShuffleSplit,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.LabelShuffleSplit.html#sklearn.cross_validation.LabelShuffleSplit,sklearn.cross_validation,Cross Validation
20,['labels'],"['labels : array-like of int with shape (n_samples,)']","[""<type 'numpy.ndarray'>""]",labels=None,"[('labels', None)]",LeaveOneLabelOut,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.LeaveOneLabelOut.html#sklearn.cross_validation.LeaveOneLabelOut,sklearn.cross_validation,Cross Validation
21,['n'],['n : int'],"[""<type 'int'>""]",n=None,"[('n', None)]",LeaveOneOut,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.LeaveOneOut.html#sklearn.cross_validation.LeaveOneOut,sklearn.cross_validation,Cross Validation
22,"['labels', 'p']","['labels : array-like of int with shape (n_samples,)', 'p : int']","[""<type 'numpy.ndarray'>"", ""<type 'int'>""]","labels=None, p=None","[('labels', None), ('p', None)]",LeavePLabelOut,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.LeavePLabelOut.html#sklearn.cross_validation.LeavePLabelOut,sklearn.cross_validation,Cross Validation
23,"['n', 'p']","['n : int', 'p : int']","[""<type 'int'>"", ""<type 'int'>""]","n=None, p=None","[('n', None), ('p', None)]",LeavePOut,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.LeavePOut.html#sklearn.cross_validation.LeavePOut,sklearn.cross_validation,Cross Validation
24,['test_fold'],"[""test_fold : 'array-like, shape (n_samples,)""]","[""<type 'numpy.ndarray'>""]",test_fold=None,"[('test_fold', None)]",PredefinedSplit,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.PredefinedSplit.html#sklearn.cross_validation.PredefinedSplit,sklearn.cross_validation,Cross Validation
25,"['n', 'n_iter', 'test_size', 'train_size', 'random_state']","['n : int', 'n_iter : int (default 10)', 'test_size : float (default 0.1), int, or None', 'train_size : float, int, or None (default is None)', 'random_state : int or RandomState']","[""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'float'>, <type 'int'>, None)"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","n=None, n_iter=10, test_size=0.1, train_size=None, random_state=None","[('n', None), ('n_iter', '10'), ('test_size', '0.1'), ('train_size', 'None'), ('random_state', 'None')]",ShuffleSplit,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.ShuffleSplit.html#sklearn.cross_validation.ShuffleSplit,sklearn.cross_validation,Cross Validation
26,"['y', 'n_folds', 'shuffle', 'random_state']","['y : array-like, [n_samples]', 'n_folds : int, default=3', 'shuffle : boolean, optional', 'random_state : None, int or RandomState']","[""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","y=None, n_folds=3, shuffle=False, random_state=None","[('y', None), ('n_folds', '3'), ('shuffle', 'False'), ('random_state', 'None')]",StratifiedKFold,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.StratifiedKFold.html#sklearn.cross_validation.StratifiedKFold,sklearn.cross_validation,Cross Validation
27,"['y', 'n_iter', 'test_size', 'train_size', 'random_state']","['y : array, [n_samples]', 'n_iter : int (default 10)', 'test_size : float (default 0.1), int, or None', 'train_size : float, int, or None (default is None)', 'random_state : int or RandomState']","[""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'float'>, <type 'int'>, None)"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","y=None, n_iter=10, test_size=0.1, train_size=None, random_state=None","[('y', None), ('n_iter', '10'), ('test_size', '0.1'), ('train_size', 'None'), ('random_state', 'None')]",StratifiedShuffleSplit,http://scikit-learn.org/stable/modules/generated/sklearn.cross_validation.StratifiedShuffleSplit.html#sklearn.cross_validation.StratifiedShuffleSplit,sklearn.cross_validation,Cross Validation
28,"['n_components', 'copy', 'whiten']","['n_components : int, None or string', 'copy : bool', 'whiten : bool, optional']","[""(<type 'int'>, None, <type 'str'>)"", ""<type 'bool'>"", ""<type 'bool'>""]","n_components=None, copy=True, whiten=False","[('n_components', 'None'), ('copy', 'True'), ('whiten', 'False')]",PCA,http://scikit-learn.org/stable/modules/generated/sklearn.decomposition.PCA.html#sklearn.decomposition.PCA,sklearn.decomposition,Matrix Decomposition
29,"['n_components', 'batch_size', 'copy', 'whiten']","['n_components : int or None, (default=None)', 'batch_size : int or None, (default=None)', 'copy : bool, (default=True)', 'whiten : bool, optional']","[""(<type 'int'>, None)"", ""(<type 'int'>, None)"", ""<type 'bool'>"", ""<type 'bool'>""]","n_components=None, whiten=False, copy=True, batch_size=None","[('n_components', 'None'), ('whiten', 'False'), ('copy', 'True'), ('batch_size', 'None')]",IncrementalPCA,http://scikit-learn.org/stable/modules/generated/sklearn.decomposition.IncrementalPCA.html#sklearn.decomposition.IncrementalPCA,sklearn.decomposition,Matrix Decomposition
30,"['n_components', 'init', 'solver', 'tol', 'max_iter', 'random_state', 'alpha', 'l1_ratio', 'shuffle', 'nls_max_iter', 'sparseness', 'beta', 'eta']","['n_components : int or None', ""init :  'random' | 'nndsvd' |  'nndsvda' | 'nndsvdar' | 'custom'"", ""solver : 'pg' | 'cd'"", 'tol : double, default: 1e-4', 'max_iter : integer, default: 200', 'random_state : integer seed, RandomState instance, or None (default)', 'alpha : double, default: 0.', 'l1_ratio : double, default: 0.', 'shuffle : boolean, default: False', 'nls_max_iter : integer, default: 2000', ""sparseness : 'data' | 'components' | None, default: None"", 'beta : double, default: 1', 'eta : double, default: 0.1']","[""(<type 'int'>, None)"", None, None, ""<type 'float'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'int'>"", None, ""<type 'float'>"", ""<type 'float'>""]","*args=None, **kwargs=None","[('*args', None), ('**kwargs', None)]",ProjectedGradientNMF,http://scikit-learn.org/stable/modules/generated/sklearn.decomposition.ProjectedGradientNMF.html#sklearn.decomposition.ProjectedGradientNMF,sklearn.decomposition,Matrix Decomposition
31,"['n_components', 'copy', 'iterated_power', 'whiten', 'random_state']","['n_components : int, optional', 'copy : bool', 'iterated_power : int, optional', 'whiten : bool, optional', 'random_state : int or RandomState instance or None (default)']","[""<type 'int'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","n_components=None, copy=True, iterated_power=3, whiten=False, random_state=None","[('n_components', 'None'), ('copy', 'True'), ('iterated_power', '3'), ('whiten', 'False'), ('random_state', 'None')]",RandomizedPCA,http://scikit-learn.org/stable/modules/generated/sklearn.decomposition.RandomizedPCA.html#sklearn.decomposition.RandomizedPCA,sklearn.decomposition,Matrix Decomposition
32,"['n_components: int or None', ""kernel: 'linear' | 'poly' | 'rbf' | 'sigmoid' | 'cosine' | 'precomputed'"", 'degree', 'gamma', 'coef0', 'kernel_params', 'alpha: int', 'fit_inverse_transform: bool', ""eigen_solver: string ['auto'|'dense'|'arpack']"", 'tol: float', 'max_iter', 'remove_zero_eig']","['n_components: int or None :', ""kernel: 'linear' | 'poly' | 'rbf' | 'sigmoid' | 'cosine' | 'precomputed' :"", 'degree : int, default=3', 'gamma : float, optional', 'coef0 : float, optional', 'kernel_params : mapping of string to any, optional', 'alpha: int :', 'fit_inverse_transform: bool :', ""eigen_solver: string ['auto'|'dense'|'arpack'] :"", 'tol: float :', 'max_iter : int', 'remove_zero_eig : boolean, default=True']","[""(<type 'int'>, None)"", None, ""<type 'int'>"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'dict'>"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'str'>"", ""<type 'float'>"", ""<type 'int'>"", ""<type 'bool'>""]","n_components=None, kernel='linear', gamma=None, degree=3, coef0=1, kernel_params=None, alpha=1.0, fit_inverse_transform=False, eigen_solver='auto', tol=0, max_iter=None, remove_zero_eig=False","[('n_components', 'None'), ('kernel', ""'linear'""), ('gamma', 'None'), ('degree', '3'), ('coef0', '1'), ('kernel_params', 'None'), ('alpha', '1.0'), ('fit_inverse_transform', 'False'), ('eigen_solver', ""'auto'""), ('tol', '0'), ('max_iter', 'None'), ('remove_zero_eig', 'False')]",KernelPCA,http://scikit-learn.org/stable/modules/generated/sklearn.decomposition.KernelPCA.html#sklearn.decomposition.KernelPCA,sklearn.decomposition,Matrix Decomposition
33,"['n_components', 'tol', 'copy', 'max_iter', 'noise_variance_init', 'svd_method', 'iterated_power', 'random_state']","['n_components : int | None', 'tol : float', 'copy : bool', 'max_iter : int', 'noise_variance_init : None | array, shape=(n_features,)', ""svd_method : {'lapack', 'randomized'}"", 'iterated_power : int, optional', 'random_state : int or RandomState']","[""(<type 'int'>, None)"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'numpy.ndarray'>"", None, ""<type 'int'>"", ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","n_components=None, tol=0.01, copy=True, max_iter=1000, noise_variance_init=None, svd_method='randomized', iterated_power=3, random_state=0","[('n_components', 'None'), ('tol', '0.01'), ('copy', 'True'), ('max_iter', '1000'), ('noise_variance_init', 'None'), ('svd_method', ""'randomized'""), ('iterated_power', '3'), ('random_state', '0')]",FactorAnalysis,http://scikit-learn.org/stable/modules/generated/sklearn.decomposition.FactorAnalysis.html#sklearn.decomposition.FactorAnalysis,sklearn.decomposition,Matrix Decomposition
